Title,Description,Deadline,URL,Source,Scraped Date
COMpetency in Menopause & Integrated Therapy (COMMIT) Challenge,"Recognizing exemplary approaches to menopause education for health care professionals. This challenge seeks to identify, amplify, and reward curricula that comprehensively address the menopausal transition, including menopause hormone therapy, within U.S. health education programs. Coming Soon",Coming Soon Learn More,https://www.nih.gov/challenges/competency-menopause-integrated-therapy-commit-challenge,NIH,2026-04-29
Integration of Nutrition Training into Health Care Education Challenge,Recognizing exemplary approaches to nutrition education for health care professionals. This challenge will seek to identify and reward exemplary curricula for integrating nutrition training into health care education for physicians and nurses across the nation. Coming Soon,Coming Soon Learn More,https://www.nih.gov/challenges/integration-nutrition-training-into-health-care-education-challenge,NIH,2026-04-29
Targeting RNA in Disease with Novel Technologies (TRDNT) Challenge,Phase I: Planning Comprehensive RNA-Targeting Technologies Coming soon,Phase I: Planning Comprehensive RNA-Targeting Technologies C,https://www.nih.gov/challenges/targeting-rna-disease-novel-technologies-trdnt-challenge,NIH,2026-04-29
NIH Quantum Computing Challenge,"Solve translational biomedical problems with quantum computing. The NIH Quantum Computing Challenge seeks to adopt, optimize, and deploy existing quantum algorithms or develop new quantum algorithms for biomedical problems, leading to a set of transformative solutions. Phase 2 open until 03/30/26 05:00 PM EDT",open until 03/30/26 05:00 PM EDT Learn More,https://www.nih.gov/nih-challenges/nih-quantum-computing-challenge,NIH,2026-04-29
Beauty + Health: Youth Graphic Medicine Challenge,"Teens and young adults, create comics that tell stories about beauty standards and health! The NIH Office of Disease Prevention invites teens and young adults ages 13 to 25 to create original comics about ways to reduce health risks from certain beauty products and behaviors. Open until 04/02/26 11:59 PM EDT",Open until 04/02/26 11:59 PM EDT Learn More,https://www.nih.gov/challenges/beauty-health-youth-graphic-medicine-challenge,NIH,2026-04-29
"Supplements, Facts First: A Digital Adventure for Every Age Challenge","Simplifying Supplements, One Fact at a Time The NIH Office of Dietary Supplements wants to reimagine how people learn about dietary supplements. ODS wants to transform NIH's trusted fact sheets into interactive digital experiences for everyone. Phase 1 open until 04/06/2026 05:00 PM EDT",open until 04/06/2026 05:00 PM EDT Learn More,https://www.nih.gov/challenges/supplements-facts-first-digital-adventure-every-age-challenge,NIH,2026-04-29
The NINDS Landis Award for Outstanding Mentorship,"Recognizing NINDS-funded investigators for their dedication to mentorship and training. Open Until 04/24/26, 5PM Et","Open Until 04/24/26, 5PM Et Learn More",https://www.nih.gov/challenges/ninds-landis-award-outstanding-mentorship,NIH,2026-04-29
Targeted Genome Editor Delivery (TARGETED) Challenge,"Revolutionizing technology development of delivery systems for in vivo genome editing. A $6,000,000 competition to improve in vivo delivery technologies for genome editors in two Target Areas: 1. Programmable delivery systems, and 2. Non-viral delivery across the blood-brain barrier. Phase 3 open until 05/04/26 05:00 PM EDT",open until 05/04/26 05:00 PM EDT Learn More,https://www.nih.gov/challenges/targeted-genome-editor-delivery-targeted-challenge,NIH,2026-04-29
2026 Design by Biomedical Undergraduate Teams (DEBUT) Challenge,The NIBIB DEBUT Challenge solicits design projects that develop innovative solutions to unmet health and clinical problems. Open Until 06/05/2026 11:59 PM EDT,Open Until 06/05/2026 11:59 PM EDT Learn More,https://www.nih.gov/challenges/2026-design-biomedical-undergraduate-teams-debut-challenge,NIH,2026-04-29
NIH Quantum Sensing Technology Challenge,Solve translational biomedical problems with quantum-enabled sensing technologies. The NIH Quantum Sensing Technology Challenge aims to spur innovative applications of existing quantum-enabled sensing technologies and to adapt and optimize them for use in biomedical research and clinical settings. Phase 2 open until 06/29/26 05:00 PM EDT,open until 06/29/26 05:00 PM EDT Learn More,https://www.nih.gov/challenges/nih-quantum-sensing-technology-challenge,NIH,2026-04-29
