Title,Description,URL,Source,Scraped Date
ACL Caregiver AI Prize Challenge,Help family caregivers and the caregiving industry improve care quality and reduce burden through artificial intelligence (AI).,https://www.usa.gov/challenges/acl-caregiver-ai-prize,USA.gov,2026-04-29
Autonomous Ground Vehicles for Steep Terrain Wildfire Logistics Prize Challenge,Support wildland firefighters with autonomous and semi-autonomous vehicle solutions.,https://www.usa.gov/challenge/autonomous-vehicle-wildfire-logistics,USA.gov,2026-04-29
Bio Attribution Challenge,"Drive new ideas for how to identify and trace modified threat sequences, such as proteins, genes, and genomes.",https://www.usa.gov/challenges/bio-attribution,USA.gov,2026-04-29
Connecting Talent to Opportunity Challenge,"Help strengthen the connections between learners, educators, training providers, and employers by fostering the development of integrated Talent Marketplaces.",https://www.usa.gov/challenges/cto-challenge,USA.gov,2026-04-29
DARPA Lift Challenge,Help transform heavy-lift aviation. Submit your drone design that can carry a payload more than four times its own weight.,https://www.usa.gov/challenges/darpa-lift,USA.gov,2026-04-29
Halt the Hitchhiker: Invasive Species Challenge,Pitch your innovative ideas to stop boats from transporting invasive species.,https://www.usa.gov/challenges/halt-the-hitchhiker-invasive-species,USA.gov,2026-04-29
NASA Space to Soil Challenge,"Support NASA's small satellite (smallsat) missions with hardware, software, or hybrid AI-driven solutions.",https://www.usa.gov/challenges/nasa-space-to-soil,USA.gov,2026-04-29
NIH Complement Animal Research in Experimentation NAMs Reduction to Practice Challenge,"Develop human-based new approach methodologies (NAMs) â including lab-based human cell systems, computer models, and biochemical assays.",https://www.usa.gov/challenges/nih-new-approach-methodologies-nams,USA.gov,2026-04-29
Presidential 1776 Award,High school students: showcase your understanding of civics and knowledge of Americaâs founding.,https://www.usa.gov/challenges/presidential-1776-award-scholarship,USA.gov,2026-04-29
Targeted Genome Editor Delivery (TARGETED) Challenge,Develop programmable delivery systems and non-viral delivery across the blood-brain barrier.,https://www.usa.gov/challenges/nih-targeted-genome-editor-delivery,USA.gov,2026-04-29
Wildfire Safety Equipment Prize Challenge,Help improve safety gear for wildland firefighters.,https://www.usa.gov/challenge/wildfire-safety-equipment,USA.gov,2026-04-29
